,University,Country,Street Address,Locality,Postal Code,Region
24, Academia de Muzica Gheorghe Dima,ro ,Strada Ion I.C.Bratianu 25,Cluj,400079,Cluj
25," Academia de Muzica, Teatru si Arte Plastice",md ,str. A. Mateevici 111,Chisinau,2009,Chisinau
26, Academia de Studii Economice din Bucuresti,ro ,"Piata Romana 6, Sector 1",Bucharest,010374,Bucharest
27, Academia de Studii Economice din Moldova,md ,"Banulescu-Bodoni, 59",Chisinau,2005,Chisinau
28, Academia Nacional Superior de Orquestra,pt ,"Travessa da Galé, 36 -3º Edifício Standard Elétrica",Lisbon,1349-028,Lisboa
29, Academia Rerum Civilium,cz ,Barborská 52,Kutna,284 01,Central Bohemian Region
30, Académie des Beaux-Arts de Tournai,be ,Rue de l'Hôpital Notre-Dame 14,Tournai,7500,Hainaut
31, Académie Franco-Américaine de Management,ga ,"917, Rue Alsace Lorraine  Montagne Sainte  Face à la Polyclinique Chambrier; Boîte Postale 3931",Libreville,,Estuaire
32, Academie voor Hoger Kunst- en Cultuuronderwijs,sr ,Waterfront # 14,Paramaribo,,
33, Academy of Art University,us ,79 New Montgomery,San,94105,California
34, Academy of Education of Kyrgyzstan,kg ,25 Erkindik Blvd,Bishkek,720040,Bishkek
35, Academy of Graduate Studies,ly ,"PO Box 79031, Janzour",Tripoli,,Tripoli
36, Academy of Management under the President of the Kyrgyz Republic,kg ,237 Panfilov Str.,Bishkek,720040,Bishkek
37," Academy of Music, Dance and Fine Arts",bg ,2 Todor Samoudomov Str.,Plovdiv,4025,Plovdiv
38, Academy of Public Administration  under the aegis of the President of the Republic of Belarus,by ,17 Moskovskaya Street,Minsk,220007,Minsk Region
39, Academy of Public Administration under the President of Kazakhstan,kz ,33a Abay Ave.,Astana,010000,Akmola
40, Academy of the Ministry of Internal Affairs,by ,6 Masherova Street,Minsk,220771,Minsk Region
41, Acadia University,ca ,15 University Ave,Wolfville,B4P 2R6,Nova Scotia
42, Accra Institute of Technology,gh ,Ga West,Accra,AN-19782,Greater Accra
43, Accra Technical University,gh ,PO Box 561; Barnes road,Accra,,Greater Accra
44, Ach Medical University,mn ,"Peace Avenue-11, Songino-Khairkhan district-18; P.O.B 37/503",Ulaanbaatar,18080,Ulaanbaatar
45, Acharya N.G. Ranga Agricultural University,in ,Rajendranagar,Hyderabad,500 030,Telangana
46, Acharya Nagarjuna University,in ,Nagarjunanagar,Guntur,522 510,Andhra Pradesh
47," Achievers University, Owo",ng ,"Kilometer 1, Idasen-Ute Road",Owo,,Ondo
48, Acibadem Üniversitesi,tr ,"Içerenköy Mah. Kayisdagi Cad. No:32, Içerenköy, Atasehir",Istanbul,34752,Istanbul
49, ADA Universiteti,az ,11 Ahmadbay Agha-Oglu str.,Baku,AZ1008,Absheron
50, Adama Science and Technology University,et ,,Adama,1888,Oromia
51, Adamas University,in ,,Barasat,,West Bengal
52, Adamawa State University,ng ,Private Mailbox 25,Mubi,,Adamawa
53, Adams State University,us ,208 Edgemont Boulevard,Alamosa,81102,Colorado
54, Adamson University,ph ,"900 San Marcelino Street, Ermita",Manila,1000,National Capital Region
55, Adana Bilim ve Teknoloji Üniversitesi,tr ,"Yesiloba Yerleskesi Yesiloba Mah. Ögretmenler Bulvari, Sokak No:3 01180 Seyhan",Adana,46278,Adana
56, Addis Ababa Science and Technology University,et ,,Addis,,Addis Ababa
57, Addis Ababa University,et ,PO Box 1176,Addis,,Addis Ababa
58, Adekunle Ajasin University,ng ,Private Mailbox 01,Akungba,23401,Ondo
59, Adeleke University,ng ,Loogun-Ogberin Road,Ede,,Osun
60, Adelphi University,us ,South Avenue,Garden,11530-0701,New York
61, Adesh University,in ,,Bathinda,,Punjab
62, Adigrat University,et ,,Adigrat,,Tigray
63, Adikavi Nannaya University,in ,"Rajah Rajah Narendra Nagar, Nannaya Post",Rajahmundry,533 105,Andhra Pradesh
64, Adiyaman Üniversitesi,tr ,"Adiyaman Üniversitesi, Altinsehir Mh. 3005 Sokak No:13",Adiyaman,02040,Adiyaman
65, Adler Graduate School,us ,1550 E 78th Street,Richfield,55423,Minnesota
66, Adler University,us ,17 N Dearborn Street,Chicago,60602,Illinois
67, Admiral Makarov State University of Maritime and Inland Shipping,ru ,"Dvinskaya street, 5 / 7",Saint,198035,Saint Petersburg
68, Adnan Menderes Üniversitesi,tr ,Rektorluk K.1 Merkez Kampus,Aydin,09010,Aydin
69, Adrian College,us ,110 S Madison Street,Adrian,49221-2575,Michigan
70, Advanced Business College,gh ,"3rd Darku Lane, North Kaneshie",Accra,,Greater Accra
71, Advanced Institute of Industrial Technology,jp ,Shinagawa-ku,Tokyo,,Tokyo
72, Adventist International Institute of Advanced Studies,ph ,Lalaan I,Silang,4118,Calabarzon
73, Adventist University of Africa,ke ,"Advent Hill, Ongata Rongai, Magadi Road; Private Bag-00205 Magadi",Nairobi,00503,Nairobi
74, Adventist University of Central Africa,rw ,PO Box 2461,Kigali,,Kigali City
75, Adventist University of Health Sciences,us ,671 Winyah Drive,Orlando,32803,Florida
76, Adventist University of the Philippines,ph ,"Puting Kahoy, Silang, PO Box 1834",Cavite,4118,Calabarzon
77, Adventista Teológiai Fõiskola,hu ,Ráday u. 12,Pécel,2119,Pest
78, Adyghe State University,ru ,208 Universitetskaya Street,Maykop,385000,Adygeya Republic
79, Aeres Hogeschool,nl ,De Drieslag 4,Dronten,8251JZ,Flevoland
80, AFDA Botswana,bw ,Plot 188,Oodi,,Kgatleng District
81, Afe Babalola University,ng ,KM 8.5 Afe Babalola Way,Ado-Ekiti,360001,Ekiti
82, Afeka Tel Aviv Academic College of Engineering,il ,218 Bnei Ephraim St,Ne'ot,69107,Tel Aviv
83, Afghan Pamir Higher Education Institute,af ,Kolula Pushta Road,Kabul,,Kabul
84, Afghan Swiss Medical Institute of Higher Education,af ,Sarsabzi Square,Kabul,,Kabul
85, Africa Christian University,zm ,"Plot No 37732/3 Off Lake Road, Ibex Hill",Lusaka,,Lusaka
86, Africa International University,ke ,PO Box 24686,Nairobi,00502,Nairobi
87, Africa Nazarene University,ke ,PO Box 53067,Nairobi,00200,Nairobi
88, Africa Renewal University,ug ,PO Box 35138,Kampala,,Central Region
89, Africa University,zw ,"Nyanga Road, PO Box 1320",Mutare,,Manicaland
90, African Bible University,ug ,"Plot 870, Lubowa Estates, Roofings Road, off Entebbe Road",Wakiso,,Central Region
91," African Leadership University, Rwanda",rw ,Kigali Heights,Kigali,,Kigali City
92, African Methodist Episcopal University,lr ,34 Camp Johnson Road,Monrovia,,Montserrado
93, African Rural University,ug ,PO Box 24,Kagadi,,Western Region
94, African University College of Communications,gh ,PO Box LG 510; Adabraka,Accra,,Greater Accra
95, African University of Management,ga ,Boulevard Léon-MBA à côté de la Station Derrière-la-Prison; Boîte Postale 16374,Libreville,,Estuaire
96, African University of Science and Technology,ng ,"Private Mailbox 681, Garki",Abuja,,Federal Capital Territory
97, Afyon Kocatepe Üniversitesi,tr ,Ahmet Necdet Sezer Kampusü Gazligöl Yolu,Afyon,03200,Afyonkarahisar
98, Aga Khan University,pk ,"Stadium Road, PO Box 3500",Karachi,74800,Sindh
99, Agnes Scott College,us ,141 E. College Avenue,Decatur,30030-3770,Georgia
100, Agri Ibrahim Çeçen Üniversitesi,tr ,"Erzurum yolu 4 km, Merkez",Agri,04100,Agri
101, Agricultural University of Athens,gr ,Iera odos 75,Athens,11855,Attica
102, Agricultural University of Georgia,ge ,13 km. David Aghmashenebeli Alley,Tbilisi,0131,Tbilisi
103, Agricultural University of Hebei,cn ,"289 Lingyusi Street, Nanshi",Baoding,071001,Hebei
104, Agricultural University of Iceland,is ,Hvanneyri,Borgarnes,311,Western Region
105, Agricultural University of Plovdiv,bg ,12 Mendeleev Str.,Plovdiv,4000,Plovdiv
106, Agriculture and Forestry University,np ,,Bharatpur,,Central Region
107, Agrocampus Ouest,fr ,65 Rue de Saint Brieuc,Rennes,35042,Brittany
108, AgroParisTech,fr ,"16, Rue Claude-Bernard",Paris,75231,Ile-de-France
109, Ahfad University for Women,sd ,PO Box 167,Omdurman,,Khartoum
110, Ahi Evran Üniversitesi,tr ,"Bagbasi Mah. Sahir kurutluoglu cad. No: 100, Merkez",Kirsehir,,Kirsehir
111, Ahlia University,bh ,"GOSI Complex, 1st Floor, Exhibitions Road, PO Box 10878",Manama,,Capital Governorate
112, Ahlobait Institute of Higher Education,af ,,Kabul,,Kabul
113, Ahmadu Bello University,ng ,"Sokoto Road, Samaru-Zaria",Zaria,2222,Kaduna
114, Ahmedabad University,in ,"AES Bungalow # 2. Commerce Six Roads, Navrangpura",Ahmedabad,380 009,Gujarat
115, Ahmet Yesevi Üniversitesi,kz ,29 B.Sattarxanov Street,Turkistan,,South Kazakhstan
116, Ahsanullah University of Science and Technology,bd ,"141 & 142, Love Road, Tejgaon Industrial Area",Dhaka,1208,Dhaka
117, Ahvaz Jundishapur University of Medical Sciences,ir ,Golestan Avenue,Ahvaz,,Khuzestan
118, Aichi Bunkyo University,jp ,5969-3 Nenjo-Zaka,Komaki,485-8565,Aichi
119, Aichi Gakuin University,jp ,"12 Araike, Iwasaki-cho",Nisshin,470-0195,Aichi
120, Aichi Gakusen University,jp ,"1 Shiotori, Oike-cho",Toyota,471-8532,Aichi
121, Aichi Institute of Technology,jp ,"1247 Yachigusa, Yakusa-cho",Toyota,470-0392,Aichi
122, Aichi Medical University,jp ,21 Yazako Karimata,Nagakute,480-1195,Aichi
123, Aichi Mizuho College,jp ,Mizuho,Nagoya,,Aichi
124, Aichi Prefectural University,jp ,"1522-3 Ibaragabasama, Kumabari",Nagakute,480-1198,Aichi
125, Aichi Prefectural University of Fine Arts and Music,jp ,"1-1 Sagamine, Yazako",Nagakute,480-1194,Aichi
126, Aichi Sangyo University,jp ,"12-5 Harayama, Oka-cho",Okazaki,444-0005,Aichi
127, Aichi Shukutoku University,jp ,"23 Sakuragaoka, Chikusa-ku",Nagoya,480-1197,Aichi
128, Aichi Toho University,jp ,,Nagoya,,Aichi
129, Aichi University,jp ,"4-60-6 Hiraike-cho, Nakamura Ward",Nagoya,453-8777,Aichi
130, Aichi University of Education,jp ,"1 Hirosawa, Igaya-cho",Kariya,448-8542,Aichi
131, Aichi University of Technology,jp ,50-2 Manori Nishihasama-cho,Gamagori,443-0047,Aichi
132, Aikoku Gakuen University,jp ,1532 Yotsukaido,Yotsukaido,284-0005,Chiba
133, Ain Shams University,eg ,,Abbassia,11566,Cairo
134, Aino University,jp ,,Takatsuki,,Osaka
135, Air Force Institute of Technology,us ,2950 Hobson Way,Wright-Patterson,45433-7765,Ohio
136, Air University,pk ,"E-9, PAF Complex",Islamabad,44000,Islamabad CT
137, AISECT University,in ,,Mendua,,Madhya Pradesh
138, Aix-Marseille Université,fr ,"3, Place Victor Hugo",Marseille,13331,Provence-Alpes-Cote d Azur
139, Ajayi Crowther University,ng ,Ogbomosho Expressway; PMB 1066,Oyo,,Oyo
140, Ajeenkya D.Y. Patil University,in ,,Lohegaon,,Maharashtra
141, Ajloun National Private University,jo ,PO Box 43,,26810,Ajloun
142, Ajman University,ae ,PO Box 346,Ajman,,Ajman
143, Ajou University,kr ,"San 5 Woncheon-dong, Yeongtong-gu",Suweon,443-749,Gyeonggi
144, AKAD Privathochschulen,de ,Am Rathaus 10,Pinneberg,25421,Saxony-Anhalt
145, Akademia Finansów i Biznesu Vistula,pl ,ul. Stoklosy 3,Warsaw,02-787,Masovian Voivodeship
146, Akademia Górniczo-Hutnicza,pl ,al. Mickiewicza 30,Krakow,30-059,Lesser Poland Voivodeship
147, Akademia Humanistyczna im. Aleksandra Gieysztora,pl ,ul. Daszynskiego 17,Pultusk,06-100,Masovian Voivodeship
148, Akademia Humanistyczno-Ekonomiczna w Lodzi,pl ,ul. Rewolucji 1905 r. 64,Lodz,90-222,Lodz Voivodeship
149, Akademia im. Jana Dlugosza w Czestochowie,pl ,ul. A. Waszyngtona 4/8,Czestochowa,42-217,Silesian Voivodeship
150, Akademia Leona Kozminskiego,pl ,ul. Jagiellonska 57,Warsaw,03-301,Masovian Voivodeship
151, Akadémia médií,sk ,Zámocká 34,Bratislava,81101,Bratislava
152, Akademia Morska w Gdyni,pl ,ul. Morska 83,Gdynia,81-225,Pomeranian Voivodeship
153, Akademia Morska w Szczecinie,pl ,ul. Waly Chrobrego 1-2,Szczecin,70-500,West Pomeranian Voivodeship
154, Akademia Muzyczna im. Feliksa Nowowiejskiego w Bydgoszczy,pl ,ul. Slowackiego 7,Bydgoszcz,85-008,Kuyavian-Pomeranian Voivodeship
155, Akademia Muzyczna im. Fryderyka Chopina w Warszawie,pl ,ul. Okólnik 2,Warsaw,00-368,Masovian Voivodeship
156, Akademia Muzyczna im. Grazyny i Kiejstuta Bacewiczów w Lodzi,pl ,ul. Gdanska 32,Lodz,90-716,Lodz Voivodeship
157, Akademia Muzyczna im. Ignacego Jana Paderewskiego w Poznaniu,pl ,ul. Sw. Marcin 87,Poznan,61-808,Greater Poland
158, Akademia Muzyczna im. Karola Lipinskiego we Wroclawiu,pl ,"pl. Jana Pawla II, 2",Wroclaw,50-043,Lower Silesian Voivodeship
159, Akademia Muzyczna im. Karola Szymanowskiego w Katowicach,pl ,ul. Zacisze 3,Katowice,40-025,Silesian Voivodeship
160, Akademia Muzyczna w Gdansku,pl ,ul. Lakowa 1/2,Gdansk,80-743,Pomeranian Voivodeship
161, Akademia Muzyczna w Krakowie,pl ,ul. sw. Tomasza 43,Krakow,31-027,Lesser Poland Voivodeship
162, Akademia Pedagogiki Specjalnej im. Marii Grzegorzewskiej w Warszawie,pl ,ul. Szczesliwicka 40,Warsaw,02-353,Masovian Voivodeship
163, Akademia Polonijna w Czestochowie,pl ,ul. Pulaskiego 4/6,Czestochowa,42-200,Silesian Voivodeship
164, Akademia Pomorska w Slupsku,pl ,ul. Arciszewskiego 22,Slupsk,76-200,Pomeranian Voivodeship
165, Akademia Sztuk Pieknych im. Jana Matejki w Krakowie,pl ,pl. Jana Matejki 13,Krakow,31-157,Lesser Poland Voivodeship
166, Akademia Sztuk Pieknych im. Wladyslawa Strzeminskiego w Lodzi,pl ,ul. Wojska Polskiego 121,Lodz,91-726,Lodz Voivodeship
167, Akademia Sztuk Pieknych w Gdansku,pl ,ul. Targ Weglowy 6,Gdansk,80-836,Pomeranian Voivodeship
168, Akademia Sztuk Pieknych w Katowicach,pl ,ul. Raciborska 37,Katowice,40-074,Silesian Voivodeship
169, Akademia Sztuk Pieknych w Warszawie,pl ,ul. Krakowskie Przedmiescie 5,Warsaw,00-068,Masovian Voivodeship
170, Akademia Sztuk Pieknych we Wroclawiu,pl ,pl. Polski 3/4,Wroclaw,50-156,Lower Silesian Voivodeship
171, Akademia Sztuk Teatralnych im. Stanislawa Wyspianskiego w Krakowie,pl ,ul. Straszewskiego 21/22,Krakow,31-109,Lesser Poland Voivodeship
172, Akademia Techniczno-Humanistyczna,pl ,ul. Willowa 2,Bielsko-Biala,43-309,Silesian Voivodeship
173, Akadémia umení v Banskej Bystrici,sk ,ul. Jána Kollára 22,Banská,87401,Banska Bystrica
174, Akademia Wychowania Fizycznego im. Bronislawa Czecha w Krakowie,pl ,al. Jana Pawla II 78,Krakow,31-571,Lesser Poland Voivodeship
175, Akademia Wychowania Fizycznego im. Eugeniusza Piaseckiego w Poznaniu,pl ,ul. Królowej Jadwigi 28/39,Poznan,61-871,Greater Poland
176, Akademia Wychowania Fizycznego im. Jerzego Kukuczki w Katowicach,pl ,ul. Mikolowska 72a,Katowice,40-065,Silesian Voivodeship
177, Akademia Wychowania Fizycznego Józefa Pilsudskiego w Warszawie,pl ,ul. Marymoncka 34,Warsaw,00-968,Masovian Voivodeship
178, Akademia Wychowania Fizycznego we Wroclawiu,pl ,al. Ignacego Jana Paderewskiego 35,Wroclaw,51-612,Lower Silesian Voivodeship
179, Akademie der Bildenden Künste München,de ,Akademiestrasse 2-4,München,80799,Bavaria
180, Akademie der Bildenden Künste Nürnberg,de ,Bingstrasse 60,Nürnberg,90480,Bavaria
181, Akademie der Bildenden Künste Wien,at ,Schillerplatz 3,Vienna,1010,Vienna
182, Akademie Mode and Design GmbH,de ,Alte Rabenstrasse 1,Hamburg,20148,Hamburg
183, Akademie múzických umìní v Praze,cz ,Malostranské nám. 12,Prague,118 00,Prague
184, Akademie STING,cz ,Stromovka 1,Brno,637 00,South Moravian Region
185, Akademie vytvarnych umeni v Praze,cz ,U Akademie 4,Prague,170 22,Prague
186, Akaki Tsereteli State University,ge ,59 Tamar Mephe Street,Kutaisi,4600,Imereti
187, Akal University,in ,Talwandi Sabo,Bathinda,,Punjab
188, AKCENT College,cz ,Bítovská 5,Prague,140 00,Prague
189, Akdeniz Karpaz Üniversitesi,cy ,Sht. Mustafa Ruso Cad. No 79 K.Kaymakli / Lefkosa / KKTC,Nicosia,Mersin10,Northern Cyprus
190, Akdeniz Üniversitesi,tr ,Dumlupinar Bulvari - Kampus,Antalya,07058,Antalya
191, Akita International University,jp ,"193-2 Okutsubakidai, Yuwa-Tsubakigawa",Akita,010-1211,Akita
192, Akita Prefectural University,jp ,"241-7, Shimoshinjo Nakano Kaidobata-Nishi",Akita,010-0195,Akita
193, Akita University,jp ,"1-1, Tegata Gakuen-machi",Akita,010-8502,Akita
194, Akita University of Nursing and Welfare,jp ,,Odate,,Akita
195, akkon Hochschule,de ,Am köllnischen park 1,Berlin,10179,Berlin
196, Aklan State University,ph ,,Banga,5601,Western Visayas
197, Akobo Heritage and Memorial University,ss ,,Akobo,,Jonglei
198, AKS University,in ,"Sherganj, Panna Road",Satna,485001,Madhya Pradesh
199, Aksaray Üniversitesi,tr ,"Adana yolu 7.Km. E-90 karayolu üzeri, Merkez",Aksaray,68100,Aksaray
200, Aksum University,et ,PO Box 1010,Aksum,,Tigray
201, Aktobe Regional State University,kz ,"34, A.Moldagulova St.",Aktobe,030000,Aktobe
202, Aktobe University S. Baisheva,kz ,Br. Zhubanovyh str. 302 A,Aktobe,030000,Aktobe
203, Akwa Ibom State University,ng ,,Uyo,,Akwa Ibom
204, Al Ain University of Science and Technology,ae ,"AirPort Road, PO Box 64141",Al,11211,Abu Dhabi
205, Al Akhawayn University,ma ,"Hassan II Avenue, PO Box 104",Ifrane,53000,Fes-Meknes
206, Al al-Bayt University,jo ,Al Jubaiha,Mafraq,25113,Mafraq
207, Al Andalus University for Medical Sciences,sy ,,Al-Qadmus,,Tartus
208, Al Azhar University-Gaza,ps ,PO Box 1277,Gaza,1277,Gaza Strip
209, Al Baha University,sa ,PO Box 1988,Al,65431,Al Bahah
210, Al Beroni University,af ,,Kesektan,,Kapisa
211, Al Dar University College,ae ,Al Garhoud; PO Box 35529,Dubai,,Dubai
212, Al Falah University,ae ,POBox 128821,Dubai,,Dubai
213, Al Fashir University,sd ,,Al-Fashir,,North Darfur
214, Al Ghurair University,ae ,Academic City,Dubai,,Dubai
215, Al Hussein Technical University,jo ,King Abdullah II Street,Amman,11831,Amman
216, Al Imam Al-Ouzai University,lb ,"Avenue al-Malaab Al Baladi, PO Box 14-5355",Beirut,2802 1105,Beirut
217, Al Istiqlal University,ps ,,Jericho,,West Bank
218, Al Jabal Al Gharbi University,ly ,,Gharyan,,Nalut
219, Al Jazeera University,ye ,,Ibb,,Ibb
220, Al Jouf University,sa ,,Sakakah,72388,Al Jawf
221, Al Musanna College of Technology,om ,Mussanah,Al,314,Muscat
222, Al Mustafa International University,ir ,Muallim Street,Qom,,Tehran
223, Al Muthanna University,iq ,,Samawa,,Muthanna
224, Al Nahrain University,iq ,,Baghdad,,Baghdad
225, Al Qasimia University,ae ,PO Box 63000,Sharjah,,Sharjah
226, Al Rasheed International Private University for Science and Technology,sy ,PO Box 7928,Damascus,,Rif Dimashq
227, Al Sharqiyah University,om ,PO Box 42,Ibra,400,Ash Sharqiyah North
228, Al Yamamah University,sa ,"Al-Qassim Road, 2km south of Special Security Forces",Riyadh,11512,Riyadh
229, Al Zaiem Al Azhari University,sd ,PO Box 1432,Khartoum,13311,Khartoum
230, Alabama A&M University,us ,4900 Meridian Street,Normal,35762,Alabama
231, Alabama State University,us ,915 S Jackson Street,Montgomery,36104-0271,Alabama
232, Alagappa University,in ,"Alagappapuram, Alagappa Nagar",Karaikudi,630 003,Tamil Nadu
233, Al-Ahgaff University,ye ,PO Box 50341,Mukalla,,Hadhramaut
234, Al-Ahliyya Amman University,jo ,"Al Salt Road, Sweileh",Amman,19328,Amman
235, Alamein University,eg ,,El,,Matrouh
236, Alandalus University for Science and Technology,ye ,PO Box 37444,Sana'a,,Sanaa
237, Alanus Hochschule für Kunst und Gesellschaft,de ,Villestrasse 3,Alfter,53347,North Rhine-Westphalia
238, Alanya Alaaddin Keykubat Üniversitesi,tr ,"Konakli Mahallesi Mustafa Kemal Bulvari No:82, Alanya",Antalya,07490,Antalya
239, Alanya Hamdullah Emin Pasa Üniversitesi,tr ,"Cikcilli Beldesi Saraybeleni Mah., Saraybeleni Cad. No 7",Antalya,07400,Antalya
240, Al-Aqsa University,ps ,PO Box 4051,Gaza,,Gaza Strip
241, Alaska Bible College,us ,248 E Elmwood,Palmer,99645,Alaska
242, Alaska Pacific University,us ,4101 University Drive,Anchorage,99508,Alaska
243, Al-Azhar University,eg ,Yosief Abbas Street,Cairo,11754,Cairo
244, ALBA Graduate Business School,gr ,Xenias 6-8,Athens,11528,Attica
245, Al-Baath University,sy ,,Homs,,Homs
246, Al-Balqa' Applied University,jo ,33 jorda,Al-Salt,19117,Balqa
247, Albanian University,al ,Bulevardi Zogu I,Tirana,1001,Tirana
248, Albany College of Pharmacy and Health Sciences,us ,106 New Scotland Avenue,Albany,12208-3492,New York
249, Albany Law School,us ,80 New Scotland Avenue,Albany,12208,New York
250, Albany Medical College,us ,47 New Scotland Avenue,Albany,12208-3479,New York
251, Albany State University,us ,504 College Drive,Albany,31705,Georgia
252, Albaydaa University,ye ,,Al,,Al Bayda
253, Albertus Magnus College,us ,700 Prospect Street,New,06511-1189,Connecticut
254, Albion College,us ,611 E Porter Street,Albion,49224-1831,Michigan
255, Alborz Institute of Higher Education,af ,,Mazar-i-Sharif,,Balkh
256, Albright College,us ,13th and Bern Streets,Reading,19612-5234,Pennsylvania
257, Al-Buraimi University College,om ,,Al-Buraymi,512,Al Buraimi
258, Alcorn State University,us ,1000 Asu Drive Ste 359,Lorman,39096-7500,Mississippi
259, Aldersgate College,ph ,Burgos Street,Solano,3709,Cagayan Valley
260, Alderson Broaddus University,us ,101 College Hill Drive,Philippi,26416-2035,West Virginia
261, Aleksandro Stulginskio universitetas,lt ,"Studentu 11, Akademija",Kaunas,53361,Kaunas
262, Al-Eman University,ye ,PO Box 15542,Sana'a,,Sanaa
263, Aletheia University,tw ,"No. 32, Zhenli Street, Danshui District",Taipei,25103,Taipei
264, Alexander College,cy ,2 Artas Street,Aradippou,7110,Larnaca
265, Alexander Technological Educational Institute of Thessaloniki,gr ,150 Terma Terzopoulou,Thessaloniki,60100,Central Macedonia
266, Alexandria University,eg ,22 Al-Guish Avenue,Alexandria,21526,Alexandria
267, Alfa BK Univerzitet,rs ,"Palmira Toljatija 3, Novi Beograd",Belgrade,11070,Belgrade
268, Alfaisal University,sa ,PO Box 50927,Riyadh,11533,Riyadh
269, Al-Falah University,in ,,Faridabad,,Haryana
270, Al-Farabi Kazakh National University,kz ,"Al-Farabi prospect, 71",Almaty,050038,Almaty
271, Alfred Nobel University,ua ,"Naberezhna Sicheslavska str., 18",Dnipropetrovsk,49000,
272, Alfred State College,us ,10 Upper College Drive,Alfred,14802,New York
273, Alfred University,us ,One Saxon Drive,Alfred,14802-1205,New York
274, Al-Furat University,sy ,,Deir,,Deir ez-Zor
275, Algoma University,ca ,1520 Queen Street East,Sault,P6A 2G4,Ontario
276, Alhamd Islamic University,pk ,Airport Road,Quetta,87300,Balochistan
277, Al-Hawash Private University for Pharmacy and Cosmetology,sy ,PO Box 1452,Homs,,Homs
278, Al-Hikma University,ye ,,Sana'a,,Sanaa
279, Al-Hikmah University,ng ,,Ilorin,24001,Kwara
280, ALHOSN University (on probation),ae ,,Abu,,Abu Dhabi
281, Al-Hussein Bin Talal University,jo ,PO Box 20,Ma'an,71111,Maan
282, Ali Institute of Education,pk ,Ferozepur Road,Lahore,54600,Punjab
283, Aliah University,in ,"IIA/27, New Town",Kolkata,700 156,West Bengal
284, Alice Lloyd College,us ,100 Purpose Road,Pippa,41844,Kentucky
285, Alice Salomon Hochschule Berlin,de ,Alice-Salomon-Platz 5,Berlin,12627,Berlin
286, Aligarh Muslim University,in ,University Road,Aligarh,202 002,Uttar Pradesh
287, Al-Imam Muhammad Ibn Saud Islamic University,sa ,"PO Box 5701, Othman Ibn Affan Street",Riyadh,11432,Riyadh
288, Aljazeera University,sy ,,Deir,,Deir ez-Zor
289, Al-Khair University,pk ,88-W Fazal-ul-Haq Road,Rawalpindi,,Punjab
290, All Hallows College,ie ,Grace Park Road,Drumcondra,9,County Dublin
291, All India Institute of Medical Sciences Bhopal,in ,Saket Nagar,Bhopal,,Madhya Pradesh
292, All India Institute of Medical Sciences Bhubaneswar,in ,"Sijua, Patrapada, Post Dumduma",Bhubaneswar,,Odisha
293, All India Institute of Medical Sciences Delhi,in ,Ansari Nagar,New,110 029,NCT of Delhi
294, All India Institute of Medical Sciences Jodhpur,in ,"Basni Industrial Area, Phase-2",Jodhpur,,Rajasthan
295, All India Institute of Medical Sciences Patna,in ,Phulwari Sharif,Patna,,Bihar
296, All India Institute of Medical Sciences Raipur,in ,"Tatibandh, G. E. Road",Raipur,,Chhattisgarh
